cell_type,pathway,pathway_clean,pval,padj,ES,NES,size,leadingEdge
fibroblast,HALLMARK_INTERFERON_ALPHA_RESPONSE,Interferon Alpha Response,0.738095238095238,0.914307871267933,-0.284339490115454,-0.810499872600154,23,"CXCL10,MX1"
fibroblast,HALLMARK_APICAL_JUNCTION,Apical Junction,0.78488253319714,0.914307871267933,-0.251756066865187,-0.805166037115582,38,"CDH1,CLDN4,ITGA2,ITGB4,ITGB1"
fibroblast,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,0.829325058184639,0.914307871267933,0.226579509398326,0.820825170315439,75,"CXCL12,THBS1,MMP2,GADD45B,DCN,COL6A2,LUM,IL6,JUN,COL16A1,VCAM1,FAS,MGP,COL4A1,EMP3,COL3A1,CD59,VCAN"
fibroblast,HALLMARK_UV_RESPONSE_DN,Uv Response Dn,0.861864925525403,0.914307871267933,-0.240374840266701,-0.737202438230632,31,"IGFBP5,ANXA2,LDLR,ANXA4,IGF1R"
fibroblast,HALLMARK_IL6_JAK_STAT3_SIGNALING,Il6 Jak Stat3 Signaling,0.865012697792538,0.914307871267933,0.22273088533103,0.773402691839198,58,"IL3RA,LTB,CD36,IL6ST,CSF3R,IL6,TNFRSF1B,CD38,JUN,IL2RG,PF4,ACVR1B,FAS,CCR1,CD14,IL15RA,IL18R1,IL2RA"
fibroblast,HALLMARK_XENOBIOTIC_METABOLISM,Xenobiotic Metabolism,0.906723668869024,0.914307871267933,0.246108698086412,0.664159530610997,18,"PTGDS,CD36,FAS,IGF1,HSD17B2,TNFRSF1A,VTN"
fibroblast,HALLMARK_INFLAMMATORY_RESPONSE,Inflammatory Response,0.914307871267933,0.914307871267933,0.207175544488597,0.769505631975412,87,"SELL,CD48,IL10RA,GPR183,RGS1,LIF,CSF3R,IL6,TNFRSF1B,LAMP3,ACVR1B,BEST1,CD14,EMP3,IL2RB,CCL5,OLR1,IL15RA,IL18R1,NFKBIA,NLRP3,OSMR,NFKB1,CSF1,CMKLR1,HIF1A,TIMP1,CCR7,MYC,IL1R1"
macrophage,HALLMARK_G2M_CHECKPOINT,G2m Checkpoint,3.70917256782986e-05,0.00111275177034896,-0.750568337126406,-1.8865879202665,23,"UBE2C,TOP2A,H2AZ1,CCND1,CDKN3,EZH2,CENPF,HIF1A,MKI67,BIRC5,MYC,CHEK1,EFNA5"
macrophage,HALLMARK_E2F_TARGETS,E2f Targets,0.000253028922278062,0.00379543383417093,-0.773819370856321,-1.85955459785006,18,"TOP2A,HMGB2,H2AZ1,TUBB,CDKN3,EZH2,CDKN1A,MKI67,BIRC5,PCNA,DNMT1,MYC,CHEK1"
macrophage,HALLMARK_KRAS_SIGNALING_UP,Kras Signaling Up,0.00603621730382294,0.0603621730382294,-0.541288543541482,-1.56895821425502,55,"SPP1,MMP9,CXCL10,IGFBP3,IL1B,FGF9,SLPI,DUSP6,CCL20,ADGRL4,TNFRSF1B,SOX9,ITGA2"
macrophage,HALLMARK_P53_PATHWAY,P53 Pathway,0.0129476262685174,0.0971071970138808,-0.564189040133221,-1.55107509166308,38,"APP,KRT17,NDRG1,TM4SF1,S100A10,DDIT3,CDKN1A,EPHA2,ITGB4,PCNA,SFN,S100A4,ATF3,RXRA,HDAC3"
macrophage,HALLMARK_INFLAMMATORY_RESPONSE,Inflammatory Response,0.0401055408970976,0.170156304677476,-0.448570168820346,-1.36678634027139,88,"CXCL8,CXCL10,CCL2,IL1B,ITGB8,CLEC5A,TIMP1,CCL7,CD40,CXCL9,CDKN1A,HIF1A,AHR,CCL20,TNFRSF1B,CX3CL1,TLR2,MMP14,MYC,IFNAR1,ITGA5,ICAM1,NFKB1,LYN,IFNGR2,OSMR,NOD2"
