n_predicted_targets,n_gradient_genes,n_overlap,overlap_genes,pvalue_fisher,odds_ratio,jaccard_index,ligand,receptors,cell_type,fdr_fisher,enrichment_score
200,129,33,IL2RA;FOS;CCL5;BCL2L1;DUSP1;FAS;IGFBP3;GADD45B;THBS1;CXCR4;MMP2;CXCL1;PCNA;ZFP36;NEAT1;CFLAR;CD74;CXCL3;EIF5A;HLA.E;IGFBP5;SOX9;STMN1;KRT18;LCN2;ITGB8;HSP90AB1;CALM1;ETV4;TOP2A;CTNNB1;WNT5A;KRT19,0.109957472159979,1.34367903799055,0.111486486486486,CXCL14,CXCR4,fibroblast,0.141787266732604,0.958775252819034
200,129,33,FOS;BCL2L1;CCL5;IGFBP3;DUSP1;FAS;GADD45B;THBS1;MMP2;CXCR4;ZFP36;CTNNB1;SOX9;CFLAR;CXCL1;PCNA;STMN1;IL2RA;EIF5A;HSP90AB1;TOP2A;CXCL3;TNFRSF19;KRT19;CD74;NEAT1;CLU;SFN;TGFB2;KRT80;ETV4;WNT5A;GSTP1,0.109957472159979,1.34367903799055,0.111486486486486,MMP2,EGFR;PECAM1;CCR2;FGFR1;DDR1;ITGAV,fibroblast,0.141787266732604,0.958775252819034
200,129,33,SOX4;FOS;IGFBP3;BCL2L1;THBS1;FAS;CXCR4;GADD45B;DUSP1;CCL5;MMP2;ZFP36;CTNNB1;CLU;PCNA;KRT19;CFLAR;SOX9;EIF5A;KRT80;ETV4;STMN1;TGFB2;HSP90AB1;NEAT1;TOP2A;SFN;IL2RA;CD74;CXCL1;IGFBP5;CRYAB;GSTP1,0.109957472159979,1.34367903799055,0.111486486486486,COL5A1,DDR2;DDR1;LAIR1;ITGA1;ITGB1;ITGA2,fibroblast,0.141787266732604,0.958775252819034
200,129,31,FOS;IGFBP3;PCNA;DUSP1;BMP7;KRT18;HLA.E;CASP3;BCL2L1;CXCR4;FAS;THBS1;GADD45B;CCL5;MMP2;ZFP36;CFLAR;SOX9;CTNNB1;STMN1;HSP90AB1;EIF5A;CXCL1;TOP2A;KRT19;ETV4;NEAT1;CLU;TGFB2;GSTP1;KRT80,0.218831462375601,1.21827385221572,0.104026845637584,APP,FLT1;TNFRSF21;CD74;NGFR,fibroblast,0.261530284302547,0.659890237394359
200,129,31,FOS;BCL2L1;FAS;IL2RA;IGFBP3;CCL5;CXCR4;DUSP1;THBS1;GADD45B;MMP2;ZFP36;CLU;PCNA;EIF5A;CFLAR;STMN1;SOX9;NEAT1;CXCL1;HSP90AB1;CTNNB1;TOP2A;ETV4;SFN;GSTP1;KRT18;KRT19;HLA.DRA;KRT80;UBE2C,0.218831462375601,1.21827385221572,0.104026845637584,HLA.DRA,CD4;LAG3;CD19;CD53;CD9;CD63;CD37;CD81,fibroblast,0.261530284302547,0.659890237394359
200,129,31,FOS;BCL2L1;FAS;CCL5;IGFBP3;CFLAR;CXCR4;DUSP1;GADD45B;THBS1;IL2RA;MMP2;ZFP36;CXCL1;PCNA;SOX9;TOP2A;CLU;HSP90AB1;STMN1;CTNNB1;NEAT1;PTGES3;KRT18;ETV4;EIF5A;SFN;KRT19;GSTP1;ITGB2;TNFRSF19,0.218831462375601,1.21827385221572,0.104026845637584,CD48,CD2;PDCD1,fibroblast,0.261530284302547,0.659890237394359
200,129,30,MMP2;BCL2L1;ITGB8;GADD45B;RAC1;CXCL1;HLA.DQB1;FOS;SELENOP;FAS;DUSP1;CCL5;CXCR4;IGFBP3;THBS1;HSP90AB1;PCNA;ZFP36;CFLAR;GSTP1;KRT80;CTNNB1;EIF5A;CLU;STMN1;SOX9;TOP2A;KRT19;NEAT1;IL2RA,0.291610593637232,1.15842957142266,0.100334448160535,MIF,CXCR4;EGFR;ACKR3;CD44;CD74;CXCR2,fibroblast,0.340212359243437,0.535196703006244
200,129,29,IL1R2;GADD45B;TNFAIP6;CXCL1;FOS;DUSP1;IL2RA;ZFP36;CXCR4;RGS1;CCL5;CFD;CLEC5A;C1QB;C1QC;SOX4;ENG;THBS1;HLA.DPB1;CXCL3;TOP2A;CD52;IGHA1;CD28;IL10RA;EPCAM;ITGB2;CD2;CD27,0.374604339812777,1.10052042230325,0.0966666666666667,IL10,IL10RA;IL10RB,fibroblast,0.40790250335169,0.426427195605138
200,129,29,FOS;CXCL1;ZFP36;STAT4;RAMP1;CXCL12;CALM1;FGF7;ENG;KRT18;BCL2L1;IL2RA;FAS;IGFBP3;GADD45B;IL6ST;CXCR4;THBS1;DUSP1;CCL5;MMP2;KRT17;RGS1;CFLAR;WNT5A;STMN1;LCN2;CD74;COL16A1,0.374604339812777,1.10052042230325,0.0966666666666667,IL11,IL11RA;IL6ST;IL6R,fibroblast,0.40790250335169,0.426427195605138
200,129,29,CXCL12;FOS;COL8A1;ITGB8;ZFP36;GADD45B;SAA1;IL6ST;CCL5;KRT17;UBE2C;CXCL1;CLDN4;LCN2;BMP7;BCL2L1;FAS;IGFBP3;IL2RA;THBS1;CXCR4;DUSP1;MMP2;PCNA;STMN1;NEAT1;RGS1;EIF5A;HSP90AB1,0.374604339812777,1.10052042230325,0.0966666666666667,LIF,LIFR;IL6ST,fibroblast,0.40790250335169,0.426427195605138
200,129,28,BCL2L1;IL10RA;FOS;IL2RA;IGFBP3;FAS;THBS1;CCL5;CXCR4;DUSP1;GADD45B;SELENOP;MMP2;SFN;ZFP36;PCNA;CD28;CXCL1;SOX9;STMN1;EIF5A;CFLAR;TOP2A;CTNNB1;HSP90AB1;ETV4;KRT80;CLU,0.46452060142744,1.04439409753639,0.0930232558139535,ICOSLG,ICOS;CD28;CTLA4,fibroblast,0.484287435530735,0.332995020340194
200,129,28,GADD45B;THBS1;SOX4;FOS;IGFBP3;MMP2;CXCL1;WNT5A;TNFAIP6;COL8A1;SOX9;ZFP36;IGFBP5;HLA.E;CRYAB;CLU;CTNNB1;ITGB2;CXCL3;KRT5;CDH11;KRT19;ETV4;EPCAM;KRT18;CFD;VSIR;AGR2,0.46452060142744,1.04439409753639,0.0930232558139535,TGFB1,APP;TGFBR2;TGFBR1;ITGB8;ITGB6;ENG;ACVRL1;ITGAV;ITGB1;PDGFRA,fibroblast,0.484287435530735,0.332995020340194
200,129,27,CXCR4;THBS1;IGFBP3;FOS;COL16A1;FYN;GADD45B;MMP2;MMP14;KRT17;CDH11;CD52;EZR;SFN;RARRES2;PTGDS;SERPINB5;LCN2;VSIR;BCL2L1;FAS;CCL5;IL2RA;DUSP1;ZFP36;IL6ST;CXCL1,0.556974452200219,0.989977608639445,0.0894039735099338,CXCL12,ACKR3;CXCR3;CXCR4;ITGB1;CD4;DPP4,fibroblast,0.568578086621056,-0.254164724975158
200,129,25,FOS;BCL2L1;IL6ST;FAS;ZFP36;IGFBP3;IL2RA;THBS1;DUSP1;GADD45B;CXCL1;CXCR4;CCL5;SERPINB5;KRT17;STMN1;NEAT1;RGS1;MMP2;COL16A1;LCN2;PCNA;EIF5A;WNT5A;SOX9,0.730256509813004,0.886101874446142,0.0822368421052632,CLCF1,IL6ST;CNTFR;LIFR,fibroblast,0.730256509813004,-0.136524562853879
