gene,sample_id,coef,se,n_cells,pval,dispersion
ACE2,Lung5,-7.47638875556142e-05,0.000386199844228164,37735,0.846498024417817,0.306020610205131
ACE2,Lung6,-0.000701200604502413,0.00259864931042433,3252,0.787288951397648,0.13144932894292
ACE2,Lung9,0.00128365771761157,0.000704163076569495,21893,0.068310181690289,0.217284596660469
ACE2,Lung12,0.000390396363103555,0.000453805469542372,16548,0.389638851431308,0.490105407601961
ACE2,Lung13,-0.00168609289717805,0.000840194853737838,13609,0.0447722478599547,0.223017786227308
ACKR1,Lung5,0.00130459939330509,0.00041947523593613,37735,0.00187039922437864,0.290653507564909
ACKR1,Lung6,0.00452186434221499,0.0021099077493668,3252,0.0321004641033109,0.170434664475776
ACKR1,Lung9,0.00163582393862521,0.000822177102819585,21893,0.0466322841711537,0.168209408167589
ACKR1,Lung12,-0.000199163631003983,0.000551020184376869,16548,0.717766622776592,0.368916788237914
ACKR1,Lung13,-0.000500114615230037,0.00102495709818705,13609,0.625594380309819,0.16543301031898
ACKR3,Lung5,0.00310956863320685,0.000332868116454865,37735,9.47604521170182e-21,0.42209680297732
ACKR3,Lung6,-0.000919283546060375,0.00146474100369324,3252,0.530260599286662,0.315105456258783
ACKR3,Lung9,-0.00152290242725092,0.00065543244236267,21893,0.0201518862545211,0.23259615768694
ACKR3,Lung12,1.52699761874126e-05,0.000450826187359052,16548,0.972979943571818,0.47766964196726
ACKR3,Lung13,0.000184080476903217,0.000632741909985676,13609,0.771108636242687,0.330489022722231
ACKR4,Lung5,-0.000641608941510869,0.000366398927656601,37735,0.0799250297180134,0.315322302231524
ACKR4,Lung6,0.00188556659444827,0.00230093447975652,3252,0.412513399612184,0.157645019975238
ACKR4,Lung9,-0.00111461894831461,0.000731683953807386,21893,0.127668362739966,0.198835719335144
ACKR4,Lung12,-0.00052032090267595,0.000421640873319965,16548,0.217188706948602,0.522099823011023
ACKR4,Lung13,0.00197037266638758,0.000990097008599776,13609,0.0465820777999957,0.178917928089115
ACTA2,Lung5,-0.00161341354101652,9.59485489541239e-05,37735,1.88207567160348e-63,1.60697263382923
ACTA2,Lung6,0.00075649170502645,0.000666494023794462,3252,0.256362124483107,0.848569424503011
ACTA2,Lung9,0.00256566615095108,0.000319464752993398,21893,9.65710894654202e-16,0.615172596888236
ACTA2,Lung12,0.000190604572602859,0.000219718947352178,16548,0.385672135452295,1.05497608828145
ACTA2,Lung13,0.000196748175345231,0.00026376502647509,13609,0.45571444468007,0.970163055113361
ACTG2,Lung5,-3.81197723698785e-05,0.000280114810516033,37735,0.891753102286815,0.529410492124765
ACTG2,Lung6,0.00524069107143141,0.00170142286071899,3252,0.00206874545259132,0.247596529427856
ACTG2,Lung9,0.000789270250260549,0.000655915116292149,21893,0.228855772312306,0.237516622169689
ACTG2,Lung12,0.00065722753881448,0.000327256074129168,16548,0.0446116928268775,0.730874538635478
ACTG2,Lung13,-0.000823918150324231,0.000631602497641544,13609,0.192067101960492,0.338656530902528
ACVR1,Lung5,-0.00114805491628871,0.000289571335242455,37735,7.34974137142861e-05,0.41982774681364
